1.000000000000000000e+00 1.260699617930913208e-11 0.000000000000000000e+00 0.000000000000000000e+00
7.733898624681814216e-01 1.087653113177484282e-01 -7.028414301938562536e-02 -6.205629435644954839e-01
6.347045944978425558e-01 -5.075873153365493273e-01 -5.679116138244377776e-01 1.303134448784409594e-01
5.145842326942288159e-01 4.413402525891337858e-01 2.440029162046358224e-01 6.934583086175296618e-01
4.039727554583362745e-01 -2.869714425385225809e-01 7.817010842773880475e-01 -3.786777242647295649e-01
2.990431669573046514e-01 8.186081458197300709e-01 -2.620873626060620798e-01 -4.144443295014756390e-01
1.976439530030609515e-01 2.885656858713808726e-02 -7.639522019868435487e-01 6.135806380339529076e-01
9.833347401940727150e-02 -7.951175845894117300e-01 4.248636521609189809e-01 4.214373401069960723e-01
1.620976148107709263e-11 3.725830020304791157e-01 5.752346445041388590e-01 -7.282080817734398748e-01
-9.833347474922998765e-02 -4.536348831487871380e-01 -7.524253383173666876e-01 -4.673350305640752156e-01
-1.976439513662087977e-01 7.016101971448437391e-01 -2.934653773035173496e-01 6.185127905507122881e-01
-2.990431768150144665e-01 -1.075412475020006142e-01 8.969269395058436789e-01 3.074575152354842023e-01
-4.039727536949345166e-01 -8.609143283484569364e-01 6.671940339334343772e-02 -3.019620087482751125e-01
-5.145842375850605555e-01 1.975947609212789502e-01 -8.297943149753587155e-01 -8.718238193603056185e-02
-6.347045937589153031e-01 -4.620917571857801054e-01 5.015061810404442683e-03 6.193513831076234988e-01
-7.733898724481619302e-01 3.636182813507923273e-01 5.154892792941520030e-01 -6.261512273331117095e-02
